release_date,title,main_director,soup
2015-11-26,Krampus,michaeldougherty,fire winter santaclau snowstorm christmastre snow fireplac poweroutag destruct demon germanacc famili blizzard flashback christma badkid krampu adamscott tonicollette allisontolman michaeldougherty horror comedy fantasy
1994-07-22,North,robreiner,parentchildrelationship childprodigi travel youngboy basedonchildren'sbook kid elijahwood jasonalexander julialouis-dreyfus robreiner comedy drama family fantasy sciencefiction
2004-10-17,Finding Neverland,marcforster,skabundertv øverstehyld foran johnnydepp katewinslet juliechristie marcforster drama
1974-10-01,The Texas Chain Saw Massacre,tobehooper,gasstat texa van gore midnightmovi surpriseend shockintheend leatherfac hitchhik slaughterhous slasher chainsaw famili polaroid cannib proto-slash marilynburns allendanziger paula.partain tobehooper horror
2009-04-28,Legally Blondes,savagesteveholland, millyrosso beckyrosso christophercousins savagesteveholland comedy
1996-12-20,Ghosts of Mississippi,robreiner,assassin widow trial civilright activist alecbaldwin jameswoods virginiamadsen robreiner history drama
1978-12-13,Superman,richarddonner,savingtheworld journalist dccomic crimefight nuclearmissil galaxi superhero basedoncom crimin sabotag northpol midwest kryptonit superpow superhumanstrength aftercreditssting savetheday christopherreeve marlonbrando margotkidder richarddonner action adventure fantasy sciencefiction
1980-12-18,Nine to Five,colinhiggins, janefonda lilytomlin dollyparton colinhiggins comedy
2000-10-11,Memento,christophernolan,individu insulin tattoo waitress amnesia motel insurancesalesman reveng memoryloss polaroid flashback neo-noir guypearce carrie-annemoss joepantoliano christophernolan mystery thriller
1999-08-06,The Iron Giant,bradbird,coldwar friendship giantrobot sittingonatoilet fearofunknown 1950 lax elimarienthal jenniferaniston vindiesel bradbird adventure animation family fantasy sciencefiction
2004-12-17,Flight of the Phoenix,johnmoore,robberi water gobidesert disast airplanecrash struggleforsurviv desert dennisquaid tyresegibson giovanniribisi johnmoore action adventure drama thriller
1990-09-12,GoodFellas,martinscorsese,prison basedonnovel florida 1970 massmurd irish-american drugtraff biographi basedontruestori murder organizedcrim gore mafia gangster newyorkc extremeviol violenc brooklynnewyorkc crimeep tampa robertdeniro rayliotta joepesci martinscorsese drama crime
2007-09-11,Into the Wild,seanpenn,malenud parentchildrelationship camp cuttingthecord self-discoveri wilder biographi basedontruestori pubichair alaska journey emilehirsch marciagayharden williamhurt seanpenn adventure drama
2003-06-19,Hulk,anglee,california sanfrancisco monster gener gun dna mutat psycholog berkeley transform frog presid marvelcom superhero goldengatebridg doctor fear scientist dog desert anger mirror phone militari cell hulk superhumanstrength repressedmemori repress ericbana jenniferconnelly samelliott anglee drama action sciencefiction
1951-06-18,Strangers on a Train,alfredhitchcock,perfectcrim obsess island carousel trainrid psychopath lighter murder cheatingwif strangul amusementpark husbandwifeestrang womanwithglass chancemeet filmnoir cocktailparti fiancé stormdrain tennismatch tennispro farleygranger robertwalker ruthroman alfredhitchcock crime drama thriller
1982-12-08,Sophie's Choice,alanj.pakula,newyork concentrationcamp holocaust writer merylstreep kevinkline petermacnicol alanj.pakula drama romance
2009-05-20,Night at the Museum: Battle of the Smithsonian,shawnlevy,museum theodoreroosevelt duringcreditssting ameliaearhart smithsonian benstiller amyadams owenwilson shawnlevy adventure fantasy action comedy family
2014-11-12,Dumb and Dumber To,bobbyfarrelly,friendship sequel roadmovi buddycomedi jimcarrey jeffdaniels rachelmelvin bobbyfarrelly comedy
2006-07-21,Monster House,gilkenan,monster secret toy children neighbor mission child ryannewman stevebuscemi mitchelmusso gilkenan animation comedy family fantasy
2005-10-28,Saw II,darrenlynnbousman,riddl serialkil tobinbell shawneesmith donniewahlberg darrenlynnbousman horror
2011-08-06,Drive,nicolaswindingrefn,stuntman bloodsplatt independentfilm policechas extremeviol violenc carchas bullet headstomp getaway crimelord existenti silentprotagonist greatsoundtrack ryangosling careymulligan bryancranston nicolaswindingrefn drama action thriller crime
2004-05-13,Troy,wolfgangpetersen,brotherbrotherrelationship adulteri mytholog beauti trojanwar braveri wall fraud hostil epic swordfight battlefield ancientworld pyre ancientgreec trojanhors trojan bronzeag spartagreec helenoftroy homer'siliad bradpitt orlandobloom ericbana wolfgangpetersen adventure drama war
2016-06-24,Adventures in Babysitting,johnschultz,babysitt remak sabrinacarpenter sofiacarson maxlloyd-jones johnschultz tvmovie comedy
2003-11-05,The Matrix Revolutions,lillywachowski,savingtheworld artificialintellig manvsmachin fli philosophi fortunetel kungfu undergroundworld killerrobot templ subway dream sun hero fight sunlight computerviru key futur precognit supercomput machinetown yingyang dyinganddeath virtualr dystopia comput faith worldreligion truth rescu mission cyberpunk womandirector yinyang gnostic keanureeves laurencefishburne carrie-annemoss lillywachowski adventure action thriller sciencefiction
2009-05-06,Star Trek,j.j.abrams,spacecraft teleport spacemiss parachut timetravel blackhol supernova prequel warpspe futurist warpengin romulan outerspac vulcan alternater spaceopera reboot chrispine zacharyquinto leonardnimoy j.j.abrams sciencefiction action adventure
1988-12-09,976-EVIL,robertenglund,supernaturalpow killer satan stephengeoffreys patricko'bryan sandydennis robertenglund horror
1998-10-23,Apt Pupil,bryansinger,secretident blackmail german newident nazi manipul interview highschool murder tortur schoolcounselor ianmckellen bradrenfro davidschwimmer bryansinger drama thriller
2016-03-17,The Belko Experiment,gregmclean,gun offic experi colombia voic group bloodsplatt murder darkcomedi gore blood american extremeviol violenc securityguard meatcleav killedinanelev lockedin elev deadli deadlygam socialexperi axe johngallagherjr. tonygoldwyn adriaarjona gregmclean action horror thriller
1996-01-19,From Dusk Till Dawn,robertrodriguez,danc brotherbrotherrelationship sexualobsess showdown sheriff erotic nuditi bankrobb vampir holywat sieg stripper priest explos extremeviol bankrobberi preacher hostagesitu crucifix recreationalvehicl bloodspurt conveniencestor femalevampir mexicanamericanbord nightclubentertain boaconstrictor georgeclooney quentintarantino harveykeitel robertrodriguez horror action thriller crime
2006-03-29,Basic Instinct 2,michaelcaton-jones,malenud sex leg soholondon playinggod jacuzzi sharonstone davidmorrissey charlotterampling michaelcaton-jones crime mystery thriller
2002-04-15,Cube²: Hypercube,andrzejsekula,riddl detect claustrophobia hacker maze mathemat cube karimatchett geraintwyndavies gracelynnkung andrzejsekula thriller sciencefiction mystery
2007-04-22,Earth,alastairfothergill,ocean himalaya ice walru antarct patrickstewart constantinoromero jamesearljones alastairfothergill documentary
2014-12-12,Seventh Son,sergeibodrov,magic chosenon darkfantasi witchhunt evilwitch basedonyoungadultnovel swordandsorceri jeffbridges juliannemoore benbarnes sergeibodrov adventure fantasy
1982-12-07,48 Hrs.,walterhill,prison convict toughcop fakefight bowieknif nicknolte eddiemurphy annetteo'toole walterhill thriller action comedy crime drama
2006-03-16,Find Me Guilty,sidneylumet,courtcas staatsanwältin familyclan gangster vindiesel alexrocco frankpietrangolare sidneylumet drama
2010-05-11,Last Night,massytadjedin,newyork infidel ex-girlfriend loyalti trip marriag parti busi writer trust attract boyfriend temptat womandirector keiraknightley samworthington evamendes massytadjedin drama romance
1988-10-29,Moonwalker,colinchilvers, michaeljackson joepesci mickjagger colinchilvers fantasy music
1994-07-20,The Client,joelschumacher,suicid brotherbrotherrelationship witnessprotect principalwit brother investig searchforwit lawyer gangster susansarandon tommyleejones mary-louiseparker joelschumacher drama thriller crime mystery
2017-07-20,Valerian and the City of a Thousand Planets,lucbesson,shapeshift futur utopia spacetravel divers basedoncom alien alienplanet independentfilm energi alienabduct genocid parallelworld politicalintrigue  pacifist spaceopera militari governmentag marketplac trappedinspac federalgovern uniti cosmopoli danedehaan caradelevingne cliveowen lucbesson adventure sciencefiction action
2005-07-14,Final Fantasy VII: Advent Children,tetsuyanomura,megac swordplay wheelchair airplan basedonvideogam ruin takahirosakurai toshiyukimorikawa ayumiito tetsuyanomura action adventure animation fantasy
2004-06-25,The Notebook,nickcassavetes,poem river sad fight loveofone'slif dementia class secretlov tear candl mailbox rachelmcadams ryangosling genarowlands nickcassavetes romance drama
1985-11-15,Runaway Train,andreikonchalovsky,trainaccid attempttoescap prisonwarden train prisonescap jonvoight ericroberts rebeccademornay andreikonchalovsky action thriller
1930-04-29,All Quiet on the Western Front,lewismilestone,germani disillus worldwari armi bootcamp battlefield steelhelmet combat warfar trench youngsoldi battlefieldtrauma lewayres arnoldlucy johnwray lewismilestone drama war
2013-08-07,Elysium,neillblomkamp,dystopia spacest classconflict mattdamon jodiefoster sharltocopley neillblomkamp sciencefiction action drama thriller
1992-09-25,The Last of the Mohicans,michaelmann,secretlov mohawk nativeamerican 18thcenturi frenchandindianwar danielday-lewis madeleinestowe russellmeans michaelmann action adventure drama history romance war
1988-07-22,Big Top Pee-wee,randalkleiser,pig relationshipproblem travellingcircu beautifulgirl animallov creepyneighbor paulreubens penelopeannmiller kriskristofferson randalkleiser comedy family
2004-11-11,Seed of Chucky,donmancini,babi puppet filmdreh murder killerdol bodypossess killertoy spectacl toycomestolif braddourif jennifertilly billyboyd donmancini drama horror comedy
2011-06-17,Mr. Popper's Penguins,markwaters,taxi restaur zoo penguin exhusband littleboy zookeep doorman ride birdhatch aftercreditssting duringcreditssting jimcarrey carlagugino madelinecarroll markwaters comedy family
1986-08-22,Stand by Me,robreiner,basedonnovel friendship comingofag railroadtrack storywithinthestori  flippingcoin campfirestori referencetosuperman normandybeach child 1950 boy wilwheaton riverphoenix coreyfeldman robreiner crime drama
1995-07-07,First Knight,jerryzucker,camelot knight kingarthur excalibur knightsoftheroundt seanconnery richardgere juliaormond jerryzucker action adventure drama romance
1997-09-06,The Edge,leetamahori,photograph grizzlybear wilder airplan supermodel emergencyland suspens surviv bear animalhorror alecbaldwin anthonyhopkins ellemacpherson leetamahori action adventure drama
1987-09-02,Barfly,barbetschroeder,bartend career alcohol independentfilm alcoholabus mickeyrourke fayedunaway alicekrige barbetschroeder comedy drama romance
2017-04-06,Going in Style,zachbraff,retire bankrobberi retir elderli bankheist oldmen morganfreeman michaelcaine alanarkin zachbraff crime comedy drama
1987-09-18,The Princess Bride,robreiner,swashbuckl evilprinc referencetosocr referencetoplato screwbal imperson caryelwes robinwright mandypatinkin robreiner adventure family fantasy comedy romance
2009-09-19,Couples Retreat,peterbillingsley,island marriedcoupl yoga tahiti couplestherapi beautifulwoman tropic aftercreditssting duringcreditssting frenchpolynesia polynésiefrançais vincevaughn malinåkerman jasonbateman peterbillingsley comedy romance
1995-05-19,Die Hard: With a Vengeance,johnmctiernan,bomb taxi riddl robberi detect helicopt gold subway ship fistfight polic sequel decept shootout newyorkc explos violenc carchas fbiagent simonsay flashback dumptruck aqueduct actionhero federalreservebank brucewillis jeremyirons samuell.jackson johnmctiernan action thriller
2010-09-10,Easy A,willgluck,lie highschool school teenmovi rumor emmastone amandabynes pennbadgley willgluck comedy
1988-10-07,Alien Nation,grahambaker,livingtogeth delinqu cop alieninvas jamescaan mandypatinkin terencestamp grahambaker crime sciencefiction thriller
2013-11-16,Saving Mr. Banks,johnleehancock,biographi anim writer filmproduct emmathompson tomhanks paulgiamatti johnleehancock comedy drama history
1964-08-27,Mary Poppins,robertstevenson,londonengland danc parentchildrelationship bank brothersisterrelationship famousscor confid nanni laugh magic chimneysweep music liveactionandanim julieandrews dickvandyke davidtomlinson robertstevenson comedy family fantasy
1989-02-17,Bill & Ted's Excellent Adventure,stephenherek,jealousi journeyinthepast sigmundfreud timetravel heavymet socrat billythekid schoolpresent rhinocero phonebooth worldpeac past histori metal bestfriend napoleonbonapart keanureeves alexwinter georgecarlin stephenherek adventure comedy sciencefiction
2014-05-30,The Grand Seduction,donmckellar,newfoundland doctor briberi newjob hospit brendangleeson taylorkitsch gordonpinsent donmckellar comedy
2008-04-17,Forgetting Sarah Marshall,nicholasstoller,hawaii one-nightstand beauti jasonsegel kristenbell milakunis nicholasstoller comedy romance drama
